transaction_id,transaction_date,store_id,store_name,store_city,store_region,customer_id,first_name,email,customer_phone,loyalty_status,customer_since,product_id,product_name,product_category,unit_price,quantity,promotion_id,promotion_name,discount_percentage,total_price,discount_amount,final_amount,month,day_of_week,customer_tenure_days
DUPLICATE_ID,2024-07-24 09:59:14,S09,HCL Mart Chandigarh,Chandigarh,North,C163,Ravi,ravi50@gmail.com,9134584158,Gold,2020-07-08,P135,Hoodie,Apparel,1499,2,,,0,2998,0.0,2998.0,7,2,1477
T3945,2023-01-16 02:43:57,S01,HCL Mart Delhi,Delhi,North,C023,John,john44@gmail.com,8404921393,Platinum,2020-10-07,P457,Power Bank,Electronics,1500,5,,,0,7500,0.0,7500.0,1,0,831
T3025,2023-12-18 15:14:03,S02,HCL Mart Bhubaneswar,Bhubaneswar,East,C039,Anil,anil92@gmail.com,8542278768,Silver,2023-03-06,P220,T-Shirt,Apparel,799,2,,,0,1598,0.0,1598.0,12,0,287
T1264,2024-11-30 20:40:00,S10,HCL Mart Pune,Pune,West,C183,Vikram,vikram67@gmail.com,7784753826,Platinum,2024-02-22,P158,Jeans,Apparel,1999,1,PR02,Apparel Fest,20,1999,399.8,1599.2,11,5,282
T5351,2024-11-13 13:28:03,S09,HCL Mart Ahmedabad,Ahmedabad,West,C009,Anil,anil66@gmail.com,8431845474,Silver,2023-09-29,P425,Cushion Cover,Home Decor,299,1,,,0,299,0.0,299.0,11,2,411
T4425,2023-04-28 14:12:10,S14,HCL Mart Guwahati,Guwahati,East,C148,Ravi,ravi18@gmail.com,7083495394,Platinum,2022-03-10,P141,Rice Bag 5kg,Grocery,450,5,PR09,Weekend Blast,5,2250,112.5,2137.5,4,4,414
T3302,,S11,HCL Mart Mumbai,Mumbai,West,C088,Vikram,vikram31@gmail.com,7895949284,Gold,2022-10-21,P380,Cushion Cover,Home Decor,299,1,,,0,299,0.0,299.0,2,6,492
T7216,2023-11-23 08:09:53,S06,HCL Mart Guwahati,Guwahati,East,C065,Priya,priya78@gmail.com,7899660313,Bronze,2023-09-07,P251,T-Shirt,Apparel,799,4,PR02,Apparel Fest,20,3196,639.2,2556.8,11,3,77
T7363,2024-06-14 08:42:51,S19,HCL Mart Chandigarh,Chandigarh,North,C045,Ravi,ravi98@gmail.com,9249952519,Platinum,2021-08-07,P218,Table Lamp,Home Decor,1200,4,,,0,4800,0.0,4800.0,6,4,1042
T6590,2023-11-15 14:27:49,S05,HCL Mart Lucknow,Lucknow,North,C004,Ravi,ravi19@gmail.com,8715999022,Bronze,2022-03-25,P247,Sugar 1kg,Grocery,50,1,,,0,50,0.0,50.0,11,2,600
T1133,2024-12-08 20:12:00,S12,HCL Mart Kolkata,Kolkata,East,C113,Priya,priya28@gmail.com,9905410132,Platinum,2024-02-07,P286,iPhone Charger,Electronics,999,1,PR03,Electronics Bonanza,15,999,149.85,849.15,12,6,305
T7407,2024-11-11 04:53:31,S20,HCL Mart Lucknow,Lucknow,North,C107,Sita,sita82@gmail.com,7344992089,Gold,2020-11-20,P451,Power Bank,Electronics,1500,4,,,0,6000,0.0,6000.0,11,0,1452
T5280,2024-06-23 09:03:15,S14,HCL Mart Guwahati,Guwahati,East,C134,Ravi,ravi37@gmail.com,9649654059,Bronze,2023-06-07,P437,Rice Bag 5kg,Grocery,450,4,,,0,1800,0.0,1800.0,6,6,382
T3399,2024-11-25 18:35:47,S10,HCL Mart Lucknow,Lucknow,North,C126,Anil,anil98@gmail.com,8413523835,Silver,2021-07-20,P340,Cooking Oil 1L,Grocery,180,2,,,0,360,0.0,360.0,11,0,1224
T6713,2023-09-14 01:03:21,S08,HCL Mart Chandigarh,Chandigarh,North,C125,Ravi,ravi69@gmail.com,7823525911,Silver,2023-03-11,P253,Rice Bag 5kg,Grocery,450,3,,,0,1350,0.0,1350.0,9,3,187
T4255,2023-04-21 15:58:29,S11,HCL Mart Hyderabad,Hyderabad,South,C118,Ravi,ravi85@gmail.com,8268117744,Silver,2022-05-02,P370,Cooking Oil 1L,Grocery,180,5,,,0,900,0.0,900.0,4,4,354
T7027,2024-03-05 00:00:00,S16,HCL Mart Lucknow,Lucknow,North,C012,Anil,anil57@gmail.com,9247783225,Platinum,2024-02-10,P399,Atta 5kg,Grocery,350,5,PR09,Weekend Blast,5,1750,87.5,1662.5,3,1,24
T3265,2024-02-13 01:45:55,S10,HCL Mart Bhubaneswar,Bhubaneswar,East,C115,Vikram,vikram67@gmail.com,9462948301,Bronze,2022-07-30,P176,Table Lamp,Home Decor,1200,5,PR13,End of Season Sale,40,6000,2400.0,3600.0,2,1,563
T2942,2023-11-29 06:31:08,S03,HCL Mart Mumbai,Mumbai,West,C017,John,john79@gmail.com,8038265490,Gold,2022-11-22,P117,Jeans,Apparel,1999,1,PR14,Mid-Week Treats,8,1999,159.92,1839.08,11,2,372
T1764,2024-09-21 18:29:00,S03,HCL Mart Ahmedabad,Ahmedabad,West,C088,Anil,anil36@gmail.com,8723401586,Silver,2022-09-01,P431,Hoodie,Apparel,1499,4,PR04,Flash Sale,5,5996,299.8,5696.2,9,5,751
T4177,2024-04-03 00:00:00,S06,HCL Mart Chennai,Chennai,South,C122,Anil,anil43@gmail.com,7161877074,Silver,2023-05-15,P402,Rice Bag 5kg,Grocery,450,2,,,0,900,0.0,900.0,4,2,324
T4046,2024-09-15 17:53:23,S13,HCL Mart Delhi,Delhi,North,C054,Sita,sita40@gmail.com,7471991510,Platinum,2023-05-01,P431,Power Bank,Electronics,1500,1,,,0,1500,0.0,1500.0,9,6,503
T4065,2023-12-16 00:00:00,S13,HCL Mart Pune,Pune,West,C142,Sara,sara26@gmail.com,8733804695,Platinum,2023-09-24,P195,T-Shirt,Apparel,799,5,PR14,Mid-Week Treats,8,3995,319.6,3675.4,12,5,83
T1102,2024-12-03 16:06:00,S04,HCL Mart Hyderabad,Hyderabad,South,C126,John,john81@gmail.com,7150997808,Bronze,2023-07-13,P265,Rice Bag 5kg,Grocery,450,1,,,0,450,0.0,450.0,12,1,509
T7238,2024-05-19 16:48:53,S03,HCL Mart Mumbai,Mumbai,West,C156,Priya,priya58@gmail.com,9152143864,Silver,2021-06-04,P134,Rice Bag 5kg,Grocery,450,3,,,0,1350,0.0,1350.0,5,6,1080
T2372,2023-07-14 10:19:38,S20,HCL Mart Ahmedabad,Ahmedabad,West,C001,Priya,priya75@gmail.com,8573318335,Platinum,2022-11-02,P267,Rice Bag 5kg,Grocery,450,5,PR10,Member Exclusive,12,2250,270.0,1980.0,7,4,254
T1626,2024-09-12 13:36:00,S20,HCL Mart Bhubaneswar,Bhubaneswar,East,C192,Sita,sita80@gmail.com,9490287119,Bronze,2024-06-13,P398,Cushion Cover,Home Decor,299,5,,,0,1495,0.0,1495.0,9,3,91
T4917,2023-12-22 14:35:48,S02,HCL Mart Guwahati,Guwahati,East,C088,Sara,sara37@gmail.com,9384439074,Bronze,2023-07-22,P408,Cushion Cover,Home Decor,299,1,,,0,299,0.0,299.0,12,4,153
T2076,2023-10-06 11:12:53,S10,HCL Mart Chennai,Chennai,South,C092,Anil,anil48@gmail.com,9252562387,Gold,2023-07-31,P316,Cushion Cover,Home Decor,299,4,PR07,Black Friday,30,1196,358.8,837.2,10,4,67
