transaction_id,transaction_date,store_id,store_name,store_city,store_region,customer_id,first_name,email,customer_phone,loyalty_status,customer_since,product_id,product_name,product_category,unit_price,quantity,promotion_id,promotion_name,discount_percentage,total_price,discount_amount,final_amount,month,day_of_week,customer_tenure_days
T3302,,S11,HCL Mart Mumbai,Mumbai,West,C088,Vikram,vikram31@gmail.com,7895949284,Gold,2022-10-21,P380,Cushion Cover,Home Decor,299,1,,,0,299,0.0,299.0,2,6,492
T5161,2023-01-01 10:00:00,S16,HCL Mart Bangalore,Bangalore,South,C150,Ravi,ravi26@gmail.com,8394262988,Platinum,2024-01-01,P176,Hoodie,Apparel,1499,4,,,0,5996,0.0,5996.0,6,5,284
T2291,2024-06-27 15:07:40,S16,HCL Mart Kolkata,Kolkata,East,C126,Anil,anil20@gmail.com,8454893002,Bronze,2021-06-09,P323,Cooking Oil 1L,Grocery,180,-3,,,0,540,0.0,540.0,6,3,1114
T6003,2024-06-03 13:49:01,S10,HCL Mart Chandigarh,Chandigarh,North,C097,Vikram,vikram91_at_gmail.com,7346486252,Platinum,2021-04-08,P420,Rice Bag 5kg,Grocery,450,1,PR15,Anniversary Discount,22,450,99.0,351.0,6,0,1152
T2423,2024-07-01 00:07:51,S20,HCL Mart Ahmedabad,Ahmedabad,West,C137,Vikram,vikram50@gmail.com,8464534706,Silver,2021-06-01,P294,Wireless Mouse,Electronics,1200,-4,,,0,4800,0.0,4800.0,7,0,1126
T7167,2023-01-01 10:00:00,S08,HCL Mart Delhi,Delhi,North,C153,Vikram,vikram13@gmail.com,7747265381,Silver,2024-01-01,P436,Wall Clock,Home Decor,899,3,PR08,Diwali Special,15,2697,404.55,2292.45,11,1,526
T5364,2024-07-31 17:21:25,S17,HCL Mart Mumbai,Mumbai,West,C065,Aman,aman53@gmail.com,9921281663,Bronze,2024-02-26,,Power Bank,Electronics,1500,4,PR02,Apparel Fest,20,6000,1200.0,4800.0,7,2,156
T1578,2024-08-25 19:20:00,S13,HCL Mart Lucknow,Lucknow,North,C184,Anil,anil58@gmail.com,8919258472,Gold,2022-10-27,P449,iPhone Charger,Electronics,999,3,,,0,3220,0.0,2997.0,8,6,668
T3421,2023-10-28 16:37:19,S07,HCL Mart Hyderabad,Mumbai,North,C045,John,john59@gmail.com,9211332763,Platinum,2023-01-28,P202,Atta 5kg,Grocery,350,3,PR12,Spring Collection Launch,7,1050,73.5,976.5,10,5,273
T5779,2024-01-12 01:31:44,S14,HCL Mart Guwahati,Guwahati,East,C200,Ravi,ravi70@gmail.com,7837201264,Platinum,2023-06-07,P460,T-Shirt,Apparel,799,4,,,0,3529,0.0,3196.0,1,4,219
T5808,2024-05-04 00:00:00,S06,HCL Mart Guwahati,Guwahati,East,C054,John,john90@gmail.com,8776092335,Silver,2023-08-10,P207,Rice Bag 5kg,Grocery,-450,3,,,0,1350,0.0,1350.0,5,5,268
T6150,2024-06-15 11:01:17,S11,HCL Mart Guwahati,Guwahati,East,C170,Priya,priya66@gmail.com,7427419882,Gold,2022-08-30,P165,Cushion Cover,Home Decor,299,4,,,0,1329,0.0,1196.0,6,5,655
T3798,,S20,HCL Mart Chennai,Chennai,South,C060,Vikram,vikram51@gmail.com,7944750496,Gold,2024-02-03,P313,Sugar 1kg,Grocery,50,1,PR15,Anniversary Discount,22,50,11.0,39.0,10,1,241
T1859,2024-11-18 17:14:00,S08,HCL Mart Ahmedabad,Ahmedabad,West,C063,Ravi,ravi94_at_gmail.com,8347784529,Gold,2023-02-27,P428,iPhone Charger,Electronics,999,2,PR01,New Year Sale,10,1998,199.8,1798.2,11,0,630
T6694,2024-06-16 03:22:13,S11,HCL Mart Lucknow,Lucknow,North,C077,Sara,sara70_at_gmail.com,8980450228,Platinum,2023-05-20,P477,Hoodie,Apparel,1499,2,,,0,2998,0.0,2998.0,6,6,393
T4241,2023-01-01 10:00:00,S09,HCL Mart Lucknow,Lucknow,North,C045,Sita,sita58@gmail.com,9596353060,Bronze,2024-01-01,P199,Wall Clock,Home Decor,899,5,,,0,4495,0.0,4495.0,2,5,619
T6643,2024-12-22 08:24:28,S20,HCL Mart Chennai,Chennai,South,C130,Aman,aman79@gmail.com,7658666477,Bronze,2023-11-05,P433,Atta 5kg,Grocery,350,4,,,0,1653,0.0,1400.0,12,6,413
T1789,2023-01-21 21:16:00,S13,HCL Mart Kolkata,Kolkata,East,C018,Ravi,ravi97_at_gmail.com,8087206927,Silver,2022-04-26,P105,Cushion Cover,Home Decor,299,1,,,0,299,0.0,299.0,1,5,270
T2450,2024-04-22 18:23:37,S19,HCL Mart Delhi,Delhi,North,C045,Ravi,ravi98@gmail.com,9249952519,Platinum,2021-08-07,P282,Power Bank,Electronics,1500,2,,,0,3286,0.0,3000.0,4,0,989
T4572,,S11,HCL Mart Mumbai,Mumbai,West,C069,Ravi,ravi37@gmail.com,7659138030,Gold,2022-04-09,P408,Jeans,Apparel,1999,1,PR02,Apparel Fest,20,1999,399.8,1599.2,10,0,569
T4800,2023-02-15 15:35:27,S10,HCL Mart Kolkata,Kolkata,East,C066,Anil,anil56_at_gmail.com,7433745966,Platinum,2023-01-26,P467,Table Lamp,Home Decor,1200,4,,,0,4800,0.0,4800.0,2,2,20
T4645,2024-09-13 00:00:00,S05,HCL Mart Bangalore,Bangalore,South,C113,Priya,priya28@gmail.com,9905410132,Platinum,2024-02-07,P421,Wireless Mouse,Electronics,1200,-2,,,0,2400,0.0,2400.0,9,4,219
T2487,2023-06-04 18:06:01,S12,HCL Mart Bangalore,Bangalore,South,C152,Aman,aman34_at_gmail.com,7702280406,Platinum,2021-07-04,P319,USB-C Cable,Electronics,500,2,,,0,1000,0.0,1000.0,6,6,700
T4702,2023-01-01 09:19:30,S11,HCL Mart Bangalore,Bangalore,South,C200,John,john73@gmail.com,7084179362,Platinum,2022-03-05,P290,Cooking Oil 1L,Grocery,180,-3,,,0,540,0.0,540.0,1,6,302
T3066,2023-01-01 10:00:00,S12,HCL Mart Delhi,Delhi,North,C130,Sara,sara14@gmail.com,7094861641,Platinum,2024-01-01,P202,Atta 5kg,Grocery,350,1,PR09,Weekend Blast,5,350,17.5,332.5,9,1,776
T5815,2023-06-27 11:05:58,S10,HCL Mart Hyderabad,Mumbai,North,C194,Priya,priya33@gmail.com,8329825075,Silver,2022-10-14,P272,Power Bank,Electronics,1500,5,,,0,7500,0.0,7500.0,6,1,256
